source_path,doc_type,domains,status,supersedes_path,title,bytes,sha256,mirror_path,notes
docs/ADR_RECONCILIATION.md,review,docs,superseded,,ADR Reconciliation — Proposals for Owner/Opus Review,12442,96bdccdeaa43347b05ed58081421aa260084d54157df89743208a71b93a84d59,docs/review/ADR_RECONCILIATION.md,"auto-parse picked docs/BUILD_PLAN.md, but the raw text names it as the CITER of this stale doc ('repoint the one live citation FROM docs/BUILD_PLAN.md to docs/adr/'), not the survivor; no single surviving file is named (target is the docs/adr/ directory) — cleared, left empty"
docs/AGENT_CONTEXT_MERGE_PLAN.md,blueprint,docs,superseded,docs/consolidated/OPEN-WORK-REGISTER-2026-09-05.md,Agent-Context Merge Plan — Case Bible ⇄ Agno MVP (progressive disclosure),18059,776149b37e46472222c4dedf334d5e9bd8e704a0b6e9cbf6cf3bb996a4a1d704,docs/blueprint/AGENT_CONTEXT_MERGE_PLAN.md,
docs/AGENT_MEMORY.md,blueprint,docs,active,,Documentation Memory,1595,3b1bfdae20f2adb6f9943003e86f7454d4f90ad82649dd7fe6baca0bb8b76091,docs/blueprint/AGENT_MEMORY.md,
docs/BUILD_PLAN.md,blueprint,docs,unverified,,BUILD PLAN — the one forward plan,19309,cffc604a01b94a7c2440b5badbf4ea21d10d1cd9d165e296c768872b35750047,docs/blueprint/BUILD_PLAN.md,
docs/CHANGE-ORDER.md,todo,docs,active,,CHANGE-ORDER — Agno-MCP-Platform,54418,0c3bf2ad9917fdb65de9062d72ea9163d4cbe8bde31c075768b34ee0339be141,docs/todo/CHANGE-ORDER.md,
docs/COMPACT-SUMMARY/COMPACT-SUMMARY-2026-08-24.md,handoff,docs,unverified,,Compact summaries — 2026-08-24,348270,131ac762b3aabb9a52dc48cb82222c3d441aa053b8bf770f4fb5fd964e058978,docs/handoff/COMPACT-SUMMARY-2026-08-24.md,
docs/COMPACT-SUMMARY/COMPACT-SUMMARY-2026-09-02.md,handoff,proffer,unverified,,Compact summaries — 2026-09-02,68340,0ab3f33e8c48c14ecb4c83d0f288fa2bc155fa3d3289e8dff40a8d84bdae1404,docs/handoff/COMPACT-SUMMARY-2026-09-02.md,
docs/COMPACT-SUMMARY/COMPACT-SUMMARY-2026-09-03.md,handoff,proffer|memory,unverified,,Compact summaries — 2026-09-03,103410,c55b6bc3bb64e230054d71e6bd965a2e5bc23ce69e73181329cec6b88b0c16cb,docs/handoff/COMPACT-SUMMARY-2026-09-03.md,
docs/COMPACT-SUMMARY/COMPACT-SUMMARY-2026-09-06.md,handoff,docs,active,,Compact summaries — 2026-09-06,80133,406b40d4fe1507b8d29371f5e96793386b6c6f29e80df24126556da33b7504c6,docs/handoff/COMPACT-SUMMARY-2026-09-06.md,
docs/COMPACT-SUMMARY/COMPACT-SUMMARY-2026-09-07.md,handoff,consignatio,active,,Compact summaries — 2026-09-07,50230,c6b9c2ae242e5d9908cca389ea2c7c14164220131445efc1a72b3a1d1c30655e,docs/handoff/COMPACT-SUMMARY-2026-09-07.md,
docs/COMPACT-SUMMARY/COMPACT-SUMMARY-2026-09-08.md,handoff,proffer|infra,active,,Compact summaries — 2026-09-08,30255,64e1d1f35f47159c0ee2aa32311228784fa7a6d654665fdbb6209284bc693a57,docs/handoff/COMPACT-SUMMARY-2026-09-08.md,
docs/CONVENTIONS.md,blueprint,probata,active,,CONVENTIONS — the one style,12846,e95914ea5fc3975d8a6a50155eee5ee686a93140d45ccbe47845e22f07dfc11c,docs/blueprint/CONVENTIONS.md,
docs/COORDINATION.md,todo,docs,active,,"COORDINATION — multi-chat war room for ~~Agno-MCP-Platform~~ **Indicia Probata / `probata`** (renamed D-138, 2026-09-05; see `docs/NAMING.md`)",47478,92eff7857bac4d08d834672eb835971816d7d90657df4d36990b93116d2abb9e,docs/todo/COORDINATION.md,
docs/Codex Goal — Horizon Swift MVP.md,blueprint,indagatio,superseded,,GOAL — Horizon Swift MVP (usable ingest → Workbench → minimal Surreal),15830,453b7b996c77df7fcabf8d434a9ecbf7a790e855899999a0c87e031d4907612a,docs/blueprint/Codex Goal — Horizon Swift MVP.md,
docs/DEBT.md,todo,docs,active,,DEBT / STUB Register,33874,f1832a744460e92a69e78712aaf8dc04bc6c9bb5321f5fe501d9a89406563155,docs/todo/DEBT.md,
docs/DECISION_LOG.md,decision,docs,active,,DECISION LOG — Agno-MCP-Platform,212034,4380e542a26510adf6cb9b53824c06b6ad609d79683a7e0fbee153f4a02d4939,docs/decision/DECISION_LOG.md,
docs/DOC_CLEANUP_MANIFEST-2026-08-15.md,blueprint,docs,unverified,,Documentation Cleanup Manifest,6815,161f2f134af83895f0acc627ec4e2e9f2af983287129b5e49f3bcbe0d77153cb,docs/blueprint/DOC_CLEANUP_MANIFEST-2026-08-15.md,
docs/DOC_DEBT.md,todo,docs,active,,DOC_DEBT — documentation backlog (circle-back register),3532,8bdca1b50bb735c92a1009492acbcd5cb2b7e7540029cbe988728007b453e4bb,docs/todo/DOC_DEBT.md,
docs/EVIDENCE_MERGE_MAP.md,reference,consignatio|vestigia,unverified,,Evidence Spine — Cross-Archive Merge Map,48823,ee461a90c14134613400d56ee9b7afe055bdb354adfc0fd44469cd59a9778019,docs/reference/EVIDENCE_MERGE_MAP.md,
docs/GUARD-TRIGGER-DISPOSITION.md,todo,docs,superseded,,"Guard trigger disposition — which guards get replayed, and when",6285,17151600bef00ae7055563a5761320aff84f214ad33c40e7f212a06f222ec4cd,docs/todo/GUARD-TRIGGER-DISPOSITION.md,
docs/INDEX.md,blueprint,docs,unverified,,Documentation Index — Current Entry Points,7441,9c50d407a860f93f8d748c7cd215f52b820c02d3fd549faf5c4fd2dc346c2760,docs/blueprint/INDEX.md,
docs/INFRASTRUCTURE.md,reference,proffer|infra,superseded,,Platform Infrastructure & Deployment Topology,6289,b79580af27ceedabbfdc8a9f4167192f18e3c7f292a915fff171fad227d5ff96,docs/reference/INFRASTRUCTURE.md,
docs/INFRASTRUCTURE.template.md,reference,docs,superseded,,Platform Infrastructure & Deployment Topology — SANITIZED TEMPLATE,6742,409ec55afa1350a48ca9675ae37469ad7b5f82b9fd7838d9ca8ecc78b4354fcb,docs/reference/INFRASTRUCTURE.template.md,
docs/INGESTION-READINESS-2026-08-23.md,handoff,proffer,superseded,,Ingestion readiness — 2026-08-23,5941,ef06dc5caff41fe582d597fc9e2a82bc9259f78aca4204e3dede2101e5d695c4,docs/handoff/INGESTION-READINESS-2026-08-23.md,"auto-parse picked docs/INDEX.md, but the raw text says INDEX.md merely LINKS to this stale doc ('remove that row or repoint to archive'), not that INDEX.md supersedes it; no surviving doc is named — cleared, left empty"
docs/MASTER-TODO-2026-08-18.md,todo,docs,active,,Master application TODO — production resume ledger,17653,b8465d4eae880a6dbc77e47784d99427b9996623cfbb671090ec54ac1e56a1e9,docs/todo/MASTER-TODO-2026-08-18.md,
docs/MASTER-TODO-2026-09-09.md,todo,docs,active,,Master application TODO — production resume ledger (2026-09-09),85706,9f91cdd9689e71e550239fd2e8449fe7f2e3bdf4001d15de914ba43667bdc985,docs/todo/MASTER-TODO-2026-09-09.md,
docs/MEMORY_ARCHITECTURE.md,reference,docs,active,,Memory / Recall / Context Architecture,11804,f63792641b3d80027991ed91652a6c031462ff529edcfd33662e6ff40bffbb0c,docs/reference/MEMORY_ARCHITECTURE.md,
docs/NAMING.md,blueprint,probata,active,,Naming Canon,11636,875a39811f4fa2e38a012ece0cc0719d1b3cd60c5ae0760340366fd58a3585ed,docs/blueprint/NAMING.md,
docs/OWNER-REVIEW-2026-08-18-verified-todo-audit.md,review,docs,active,,Owner review — independently verified TODO audit (2026-08-18),16967,90e9455d6df52bb9823cd15e9a1cd476be26961314d71a7e8d846512c115476d,docs/review/OWNER-REVIEW-2026-08-18-verified-todo-audit.md,
docs/PROJECT_CANON.md,blueprint,probata,active,,PROJECT CANON — the durable source of truth,55445,084f4b14775d1c17e41731a44309ad1122cc62bcaaee8c72eb4514e95f27a31b,docs/blueprint/PROJECT_CANON.md,
docs/REPO_STRUCTURE.md,blueprint,probata,active,,REPO STRUCTURE — the one structure,14705,77d71a3cc3a99fabe6f83d2cef8f3e54f3e75dd9472aa882a14ba8f60bddd511,docs/blueprint/REPO_STRUCTURE.md,
docs/RULINGS-SHEET-2026-08-09.md,decision,docs,superseded,,Owner Rulings Sheet — 2026-08-09 — ALL RESOLVED,1371,d55eb109313e27fdcdc4f4fd7dd47b70f5fda12260e78f7850e2c0559da05f58,docs/decision/RULINGS-SHEET-2026-08-09.md,
docs/UNRESOLVED-QUESTIONS-2026-08-16-surreal-investigation-phase0.md,todo,indagatio,unverified,,Unresolved Questions — Surreal Investigation Phase 0,11968,b757a7df287cb3daae2e7721bb3c5baf2577383fbb6e11e9639fd16ab48dc66d,docs/todo/UNRESOLVED-QUESTIONS-2026-08-16-surreal-investigation-phase0.md,
docs/URGENT-TODO.md,todo,indagatio,active,,URGENT TODO,25625,3e5f96ba19d8d6d89262d243b9d52abcc215368095b1f15ee5922e6c39dd37ec,docs/todo/URGENT-TODO.md,
docs/adr/0001-fresh-build-from-skeleton.md,decision,docs,active,,ADR-0001: Build fresh from the Agno skeleton; abandon the v1 repo,1368,b30b20a689d3574fb45d55b59a02aa34cb9da6a97beaab64443e86f016dc5d5b,docs/decision/0001-fresh-build-from-skeleton.md,
docs/adr/0002-native-hitl-approval.md,decision,docs,active,,ADR-0002: Native Agno HITL (requires_confirmation + continue_run); approval_request is the audit record,1963,6e2189e2f030474cb8f2bee2bd5d6389c4a2f7e3cfc30d8fb32c5ceb1c742760,docs/decision/0002-native-hitl-approval.md,
docs/adr/0003-postgres18-pgvector-no-duckdb.md,decision,knowledge,superseded,,"ADR-0003: PostgreSQL 18 (native uuidv7), pgvector-only, no DuckDB; FalkorDB deferred",1773,8c3cd7f539682e3ef2c5879cad2a6a9b21559590d32d18aef3e58f7972f37cd3,docs/decision/0003-postgres18-pgvector-no-duckdb.md,
docs/adr/0004-learningmachine-memory.md,decision,knowledge,superseded,,ADR-0004: Memory = native LearningMachine; no hand-rolled learned_knowledge table,1655,30160e29cf3e4b2ff7ab8d661e8b5273d6ec008c52ba14b224cc618fc02b5094,docs/decision/0004-learningmachine-memory.md,
docs/adr/0005-context-providers-ports-adapters.md,decision,docs,active,,ADR-0005: Context Providers as the source-access layer (ports-and-adapters),1359,865c7e9beb524ebf68e17dc05c81ded4da210aeaf8beb7e998cf3c3c6ae23ad2,docs/decision/0005-context-providers-ports-adapters.md,
docs/adr/0006-team-topology-router.md,decision,docs,superseded,,ADR-0006: Two-layer team topology — root Router (route) over coordinate families,1691,fe33d880596728304c6affad14856db6a2ed5fc8f6aad14eed6a6a13aa331ac5,docs/decision/0006-team-topology-router.md,
docs/adr/0007-n8n-and-r2.md,decision,proffer,active,,ADR-0007: Incorporate n8n + Cloudflare R2; R2 = blob/object landing zone,1317,6bc9ed6d7ed2f921f5970506131224383c46f162a2b3879eb926bb6c47941f27,docs/decision/0007-n8n-and-r2.md,
docs/adr/0008-provider-agnostic-model-factory.md,decision,infra,superseded,,"ADR-0008: Provider-agnostic model factory, no hard default, pinned IDs",1987,17b52e03b9c961e0cda7974d82fc5e86efc4ea10246a455e313b6339fc9322ad,docs/decision/0008-provider-agnostic-model-factory.md,
docs/adr/0009-deploy-on-ovh-vps.md,decision,infra,active,,ADR-0009: Build and run on the OVH Debian VPS; author locally and sync over SSH,1612,6252b39bfe0249e10ed51f47eee5b6f525c2fc464f144a22449c323703273dbe,docs/decision/0009-deploy-on-ovh-vps.md,
docs/adr/0010-embedding-strategy-two-collections.md,decision,knowledge,active,,ADR-0010: Per-task embeddings = one vector collection per embedder; raw docs are the source of truth,2805,fafcea1869222b5a14b441ff95b709377b09bfa3217e3cb6a9258843eb593310,docs/decision/0010-embedding-strategy-two-collections.md,
docs/adr/0011-nvidia-nim-provider-and-embedder-dimension-contract.md,decision,docs,active,,ADR-0011: NVIDIA NIM is the MVP provider; embedder dimension contract = text 2048-d / code 4096-d,3681,5ffbd39fa6ecaa98cfdac5c30ae6de131403015e154bdc31e5aa223c9b75cfe2,docs/decision/0011-nvidia-nim-provider-and-embedder-dimension-contract.md,
docs/adr/0012-phase-0-decisions-locked.md,decision,docs,active,,ADR-0012: Phase 0 Decisions Locked,2746,6c6d6f66f91e3cd56e3a3fed96a54e794ff1b91713504bacaa6f4768ee3c9151,docs/decision/0012-phase-0-decisions-locked.md,
docs/adr/0013-pg-duckdb-custom-image.md,decision,docs,active,,ADR-0013: Adopt pg_duckdb in a custom PG18 image (supersedes ADR-0003's no-DuckDB stance),1771,faee3e0df271195dd395a794c49b2faf764375cd5d838c0eec561111b3833dd1,docs/decision/0013-pg-duckdb-custom-image.md,
docs/adr/0014-neo4j-graphiti-temporal-memory.md,decision,memory,superseded,,ADR-0014: Pull Graphiti temporal memory forward on Neo4j (not FalkorDB),2135,55a4c2fce25f9741ac4c3526d4a467ed56a5a2696c5ab6c54ad3773fa4718d94,docs/decision/0014-neo4j-graphiti-temporal-memory.md,
docs/adr/0015-litellm-gateway-ollama-primary.md,decision,docs,superseded,,"ADR-0015: LiteLLM gateway; Ollama Cloud is the primary LLM, NVIDIA NIM = embed/rerank/backup",3435,026425058620094221759813b7816f39b3e761d313f3b36fbd606deab7d8d286,docs/decision/0015-litellm-gateway-ollama-primary.md,
docs/adr/0016-consolidated-tool-containers-and-sandbox.md,decision,infra,active,,ADR-0016: Consolidated tool containers (platform-tools / sandbox / gateway) + Kasm desktop,1607,6c3da7a40733211e3785061f871b446faf9c195f347025704adde4392710e247,docs/decision/0016-consolidated-tool-containers-and-sandbox.md,
docs/adr/0017-polyglot-evidence-orchestration-mesh.md,decision,docs,active,,ADR-0017: Evidence processing = polyglot orchestration mesh (custody → workflows → atomic tools),2006,2c37028a64cec7234af5e962e4ccb1d5dc77adad8508c3c5cf1ccbd7e6ebbb69,docs/decision/0017-polyglot-evidence-orchestration-mesh.md,
docs/adr/0018-bitemporal-evidence-memory-disclosure-tier.md,decision,docs,active,,ADR-0018: Bitemporal evidence memory + disclosure-tier (the multi-pass cognition substrate),2171,ee85dbaa3abae69c4e43093d28abb6a915e76874dd507a5907b40db6d5f0f2b5,docs/decision/0018-bitemporal-evidence-memory-disclosure-tier.md,
